time,C1C_1,L1C_1,D1C_1,S1C_1,C1C_2,L1C_2,D1C_2,S1C_2,C1C_3,L1C_3,D1C_3,S1C_3,C1C_4,L1C_4,D1C_4,S1C_4
2019-03-27 08:15:00,21003596.969,110374646.584,1731.094,51.3,24304697.82,127722156.832,129.363,35.4,24906803.508,130886012.754,760.152,39.8,23933604.711,125771990.866,-239.504,42.6
2019-03-27 08:15:01,21003267.555,110372915.721,1730.523,51.1,24304673.023,127722027.324,129.707,35.9,24906658.5,130885252.45,760.313,39.6,23933650.188,125772230.128,-239.246,43.1
2019-03-27 08:15:02,21002938.016,110371185.279,1730.227,51.5,24304648.672,127721897.475,129.992,35.3,24906513.414,130884491.818,760.797,38.6,23933696.055,125772469.295,-239.145,42.7
2019-03-27 08:15:03,21002608.914,110369455.254,1729.855,51.5,24304623.898,127721767.379,130.102,36.0,24906369.555,130883731.0,761.043,38.7,23933741.625,125772708.348,-239.078,42.4
2019-03-27 08:15:04,21002279.82,110367725.695,1729.355,51.8,24304598.375,127721636.922,130.637,35.9,24906225.0,130882969.899,761.281,38.6,23933786.93,125772947.321,-238.949,42.3
2019-03-27 08:15:05,21001950.656,110365996.539,1728.992,51.9,24304573.805,127721506.184,130.738,36.1,24906079.477,130882208.497,761.516,38.8,23933832.227,125773186.14,-238.883,42.2
2019-03-27 08:15:06,21001621.984,110364267.823,1728.57,51.9,24304549.453,127721375.106,131.348,36.3,24905934.43,130881446.815,762.004,38.9,23933877.773,125773424.858,-238.695,41.9
2019-03-27 08:15:07,21001292.734,110362539.554,1727.926,51.9,24304524.102,127721243.825,131.43,37.2,24905789.672,130880684.896,762.102,38.4,23933923.484,125773663.494,-238.594,41.4
2019-03-27 08:15:08,21000963.984,110360811.718,1727.469,51.6,24304498.672,127721112.175,131.82,36.6,24905644.656,130879922.76,762.27,38.9,23933968.461,125773902.005,-238.523,41.1
2019-03-27 08:15:09,21000635.555,110359084.276,1727.25,51.6,24304474.203,127720980.228,132.109,37.1,24905499.227,130879160.276,762.527,39.1,23934013.602,125774140.413,-238.375,41.3
2019-03-27 08:15:10,21000306.805,110357357.289,1726.762,52.0,24304448.602,127720847.994,132.414,37.5,24905353.148,130878397.565,762.852,39.5,23934060.008,125774378.677,-238.23,41.6
2019-03-27 08:15:11,20999978.484,110355630.741,1726.289,51.5,24304423.406,127720715.466,132.547,37.7,24905208.875,130877634.567,763.191,38.0,23934104.633,125774616.84,-238.027,42.0
2019-03-27 08:15:12,20999649.781,110353904.609,1725.996,51.7,24304398.281,127720582.565,133.031,37.6,24905063.43,130876871.327,763.188,37.7,23934149.922,125774854.933,-237.973,41.7
2019-03-27 08:15:13,20999321.242,110352178.932,1725.363,51.8,24304372.211,127720449.428,133.332,36.9,24904918.719,130876107.83,763.613,38.1,23934195.289,125775092.911,-238.012,42.1
2019-03-27 08:15:14,20998993.164,110350453.654,1725.125,52.1,24304347.313,127720315.952,133.645,36.7,24904773.664,130875344.052,763.957,38.4,23934240.602,125775330.742,-237.793,42.4
2019-03-27 08:15:15,20998664.672,110348728.85,1724.48,51.4,24304322.063,127720182.229,133.84,36.5,24904627.906,130874580.062,764.094,38.5,23934285.742,125775568.498,-237.824,42.1
2019-03-27 08:15:16,20998336.578,110347004.458,1724.148,51.8,24304296.773,127720048.18,134.156,36.3,24904481.813,130873815.742,764.461,38.7,23934331.164,125775806.127,-237.66,42.5
2019-03-27 08:15:17,20998008.688,110345280.478,1723.715,51.2,24304270.969,127719913.806,134.477,36.2,24904337.086,130873051.135,764.676,39.0,23934375.852,125776043.605,-237.453,43.0
2019-03-27 08:15:18,20997680.633,110343556.965,1723.199,51.1,24304244.891,127719779.15,134.828,35.8,24904190.57,130872286.311,764.977,39.2,23934421.828,125776281.058,-237.578,42.8
2019-03-27 08:15:19,20997352.688,110341833.856,1722.828,51.2,24304219.078,127719644.206,135.051,36.0,24904045.852,130871521.181,765.156,39.0,23934466.688,125776518.33,-237.18,42.8
2019-03-27 08:15:20,20997024.867,110340111.183,1722.465,51.3,24304194.375,127719508.952,135.207,36.0,24903900.773,130870755.809,765.531,38.6,23934512.211,125776755.495,-236.961,42.6
2019-03-27 08:15:21,20996697.352,110338388.971,1721.922,51.3,24304168.289,127719373.42,135.574,36.1,24903754.758,130869990.222,765.621,38.3,23934557.039,125776992.589,-237.023,42.5
2019-03-27 08:15:22,20996369.547,110336667.174,1721.59,50.9,24304142.5,127719237.565,135.871,35.9,24903608.844,130869224.268,766.199,38.8,23934601.648,125777229.568,-236.91,42.6
2019-03-27 08:15:23,20996042.07,110334945.841,1721.023,50.9,24304116.25,127719101.421,136.121,36.2,24903463.469,130868458.127,766.207,38.8,23934646.961,125777466.453,-236.996,42.6
2019-03-27 08:15:24,20995714.555,110333224.915,1720.637,51.2,24304090.75,127718964.963,136.504,35.9,24903317.445,130867691.677,766.406,39.0,23934692.328,125777703.202,-236.754,42.5
2019-03-27 08:15:25,20995387.242,110331504.437,1720.113,51.6,24304064.43,127718828.197,136.863,36.4,24903171.203,130866924.99,766.66,38.1,23934737.43,125777939.845,-236.602,41.6
2019-03-27 08:15:26,20995059.766,110329784.399,1719.852,51.4,24304038.141,127718691.153,137.141,37.1,24903025.477,130866157.994,767.184,37.9,23934782.289,125778176.401,-236.473,41.3
2019-03-27 08:15:27,20994732.445,110328064.788,1719.355,51.7,24304012.242,127718553.781,137.422,37.5,24902879.617,130865390.775,767.391,38.3,23934827.758,125778412.844,-236.426,41.6
2019-03-27 08:15:28,20994405.547,110326345.59,1719.008,51.8,24303985.688,127718416.1,137.848,37.2,24902733.25,130864623.3,767.68,37.9,23934872.438,125778649.151,-236.332,42.0
2019-03-27 08:15:29,20994078.469,110324626.874,1718.398,51.4,24303959.492,127718278.13,138.109,37.0,24902587.969,130863855.556,767.848,38.3,23934917.852,125778885.384,-236.254,41.6
2019-03-27 08:15:30,20993751.414,110322908.52,1718.25,51.5,24303933.359,127718139.857,138.594,37.6,24902441.484,130863087.514,768.207,37.9,23934962.328,125779121.42,-235.934,41.3
2019-03-27 08:15:31,20993424.555,110321190.682,1717.586,51.9,24303907.25,127718001.296,138.895,37.9,24902295.688,130862319.234,768.324,37.7,23935006.672,125779357.445,-235.906,41.3
2019-03-27 08:15:32,20993097.547,110319473.215,1717.32,51.7,24303881.273,127717862.386,139.074,37.8,24902148.867,130861550.655,768.754,37.4,23935052.094,125779593.303,-235.824,41.8
2019-03-27 08:15:33,20992770.984,110317756.216,1716.773,51.6,24303854.25,127717723.236,139.195,37.5,24902002.711,130860781.869,768.852,37.9,23935096.625,125779829.099,-235.703,41.8
2019-03-27 08:15:34,20992444.25,110316039.654,1716.289,51.7,24303827.453,127717583.749,139.652,38.1,24901855.781,130860012.788,769.227,37.9,23935141.313,125780064.757,-235.715,41.6
2019-03-27 08:15:35,20992117.742,110314323.509,1715.871,51.8,24303801.406,127717443.974,139.918,38.2,24901709.773,130859243.444,769.48,38.0,23935186.203,125780300.313,-235.484,41.2
2019-03-27 08:15:36,20991791.219,110312607.791,1715.418,51.6,24303774.516,127717303.896,140.121,38.6,24901563.047,130858473.79,769.813,37.8,23935231.672,125780535.758,-235.484,41.2
