time,C1C_1,L1C_1,D1C_1,S1C_1,C1C_2,L1C_2,D1C_2,S1C_2,C1C_3,L1C_3,D1C_3,S1C_3,C1C_4,L1C_4,D1C_4,S1C_4
2019-03-27 21:00:00,24122329.82,126763694.217,-226.891,40.3,23827847.391,125216208.714,1200.879,42.6,24111934.07,126709178.306,-2375.004,31.2,20753193.805,109058821.724,543.125,50.2
2019-03-27 21:00:01,24122371.672,126763921.16,-226.891,40.2,23827618.664,125215007.827,1200.949,43.0,24112385.445,126711553.344,-2374.918,31.5,20753090.484,109058278.932,542.563,50.3
2019-03-27 21:00:02,24122414.555,126764148.023,-226.871,40.3,23827389.844,125213806.783,1201.137,42.9,24112838.102,126713928.223,-2374.813,31.6,20752987.398,109057736.723,541.996,50.2
2019-03-27 21:00:03,24122458.414,126764374.839,-226.797,40.2,23827162.078,125212605.606,1201.238,43.1,24113288.727,126716302.993,-2374.617,30.8,20752884.242,109057195.095,541.363,50.5
2019-03-27 21:00:04,24122501.656,126764601.561,-226.719,40.4,23826933.242,125211404.223,1201.406,43.2,24113741.008,126718677.537,-2374.492,31.9,20752781.406,109056653.993,540.801,50.3
2019-03-27 21:00:05,24122544.797,126764828.218,-226.598,40.4,23826704.602,125210202.663,1201.586,43.4,24114192.75,126721051.957,-2374.266,31.9,20752678.352,109056113.445,540.234,50.1
2019-03-27 21:00:06,24122588.039,126765054.785,-226.387,40.4,23826476.047,125209000.976,1201.871,43.0,24114644.531,126723426.226,-2374.258,31.0,20752575.203,109055573.47,539.816,50.0
2019-03-27 21:00:07,24122631.469,126765281.352,-226.426,40.2,23826247.633,125207799.135,1201.988,42.8,24115096.68,126725800.383,-2374.281,30.8,20752473.031,109055034.073,539.164,49.5
2019-03-27 21:00:08,24122674.844,126765507.854,-226.48,40.2,23826018.977,125206597.14,1202.227,43.0,24115548.664,126728174.292,-2373.777,30.3,20752370.789,109054495.222,538.578,49.5
2019-03-27 21:00:09,24122717.008,126765734.238,-226.254,40.1,23825790.133,125205394.983,1202.359,43.2,24116000.844,126730548.197,-2373.77,30.5,20752268.164,109053956.932,538.086,49.3
2019-03-27 21:00:10,24122760.172,126765960.622,-226.305,40.4,23825561.57,125204192.652,1202.395,43.4,24116452.039,126732921.857,-2373.688,30.8,20752165.633,109053419.215,537.43,49.6
2019-03-27 21:00:11,24122803.258,126766186.924,-226.297,40.3,23825332.586,125202990.177,1202.504,43.7,24116903.727,126735295.392,-2373.355,30.3,20752063.523,109052882.078,536.836,49.9
2019-03-27 21:00:12,24122846.383,126766413.133,-226.172,40.1,23825103.5,125201787.497,1202.805,43.6,24117355.266,126737668.793,-2373.289,30.3,20751961.344,109052345.437,536.344,50.0
2019-03-27 21:00:13,24122889.898,126766639.307,-226.094,40.1,23824874.656,125200584.731,1202.797,43.3,24117806.891,126740041.993,-2373.219,31.5,20751858.922,109051809.444,535.766,50.4
2019-03-27 21:00:14,24122932.125,126766865.404,-225.949,40.0,23824645.508,125199381.769,1203.02,43.4,24118259.172,126742415.059,-2373.121,31.3,20751757.32,109051273.956,535.203,50.3
2019-03-27 21:00:15,24122975.531,126767091.451,-225.953,39.8,23824416.867,125198178.643,1203.105,43.8,24118709.68,126744787.984,-2372.727,28.9,20751655.656,109050739.047,534.57,50.5
2019-03-27 21:00:16,24123017.969,126767317.428,-226.043,39.5,23824187.844,125196975.375,1203.277,43.6,24119162.789,126747160.775,-2372.613,29.4,20751554.094,109050204.681,534.012,50.5
2019-03-27 21:00:17,24123060.625,126767543.316,-225.699,39.6,23823958.813,125195771.882,1203.707,44.0,24119613.156,126749533.394,-2372.461,29.1,20751452.609,109049670.877,533.629,50.8
2019-03-27 21:00:18,24123103.789,126767769.192,-225.914,39.6,23823730.117,125194568.314,1203.543,44.1,24120063.867,126751905.921,-2372.48,30.3,20751351.086,109049137.646,532.949,50.8
2019-03-27 21:00:19,24123147.031,126767994.975,-225.707,38.9,23823500.453,125193364.534,1203.84,43.8,24120515.617,126754278.193,-2371.879,28.9,20751249.57,109048604.985,532.457,50.8
2019-03-27 21:00:20,24123190.172,126768220.681,-225.594,39.0,23823271.586,125192160.618,1203.902,44.3,24120966.594,126756650.371,-2372.191,28.6,20751148.305,109048072.875,531.801,50.7
2019-03-27 21:00:21,24123234.203,126768446.371,-225.617,38.9,23823042.961,125190956.549,1204.113,43.9,24121418.586,126759022.423,-2371.613,28.3,20751047.125,109047541.299,531.332,50.4
2019-03-27 21:00:22,24123277.195,126768671.962,-225.488,37.7,23822813.453,125189752.291,1204.398,44.1,24121870.242,126761394.278,-2371.711,28.3,20750945.953,109047010.276,530.785,50.0
2019-03-27 21:00:23,24123319.141,126768897.464,-225.449,38.3,23822583.586,125188547.878,1204.551,43.9,24122322.422,126763766.075,-2371.672,29.4,20750845.344,109046479.831,530.227,49.8
2019-03-27 21:00:24,24123362.25,126769122.984,-225.402,38.4,23822354.852,125187343.352,1204.668,43.5,24122772.68,126766137.602,-2371.523,29.4,20750744.164,109045949.984,529.664,48.9
2019-03-27 21:00:25,24123405.508,126769348.398,-225.438,38.3,23822125.047,125186138.625,1204.703,42.8,24123224.461,126768509.101,-2371.598,28.3,20750643.539,109045420.674,528.883,49.5
2019-03-27 21:00:26,24123448.023,126769573.719,-225.227,38.4,23821896.242,125184933.717,1205.035,43.2,24123676.391,126770880.33,-2371.496,27.6,20750542.93,109044891.914,528.402,49.7
2019-03-27 21:00:27,24123490.703,126769799.031,-225.344,38.7,23821667.016,125183728.723,1205.008,43.4,24124126.0,126773251.481,-2371.129,28.3,20750442.383,109044363.749,527.797,50.1
2019-03-27 21:00:28,24123533.211,126770024.262,-225.246,38.8,23821437.969,125182523.524,1205.238,43.3,24124576.742,126775622.43,-2370.891,28.0,20750342.289,109043836.132,527.309,50.2
2019-03-27 21:00:29,24123576.68,126770249.44,-225.199,39.0,23821208.617,125181318.187,1205.438,43.4,24125028.266,126777993.312,-2371.023,27.6,20750242.063,109043309.088,526.754,50.6
2019-03-27 21:00:30,24123619.359,126770474.542,-225.074,39.0,23820978.836,125180112.685,1205.629,43.2,24125478.664,126780364.007,-2370.789,28.0,20750141.414,109042782.605,526.313,50.6
2019-03-27 21:00:31,24123662.031,126770699.596,-225.02,38.8,23820749.336,125178907.055,1205.684,43.6,24125929.836,126782734.479,-2370.316,27.3,20750041.625,109042256.725,525.555,50.8
2019-03-27 21:00:32,24123704.875,126770924.568,-224.926,39.2,23820520.617,125177701.226,1205.852,43.3,24126381.203,126785104.931,-2370.188,28.0,20749941.383,109041731.357,525.004,50.4
2019-03-27 21:00:33,24123748.016,126771149.472,-224.902,38.9,23820290.32,125176495.243,1206.203,43.8,24126832.5,126787475.201,-2370.176,27.3,20749841.453,109041206.539,524.59,50.6
2019-03-27 21:00:34,24123790.609,126771374.295,-224.648,38.6,23820061.07,125175289.103,1206.215,43.7,24127283.711,126789845.257,-2370.168,27.6,20749741.883,109040682.299,524.051,50.1
2019-03-27 21:00:35,24123833.5,126771599.128,-225.078,38.3,23819831.414,125174082.841,1206.219,43.5,24127733.953,126792215.193,-2369.926,28.0,20749642.219,109040158.648,523.258,50.7
2019-03-27 21:00:36,24123876.039,126771823.812,-224.703,38.3,23819601.953,125172876.365,1206.5,43.2,24128185.109,126794584.996,-2369.945,28.3,20749542.797,109039635.542,522.738,50.7
2019-03-27 21:00:37,24123918.906,126772048.468,-224.66,38.3,23819372.367,125171669.765,1206.652,43.2,24128638.18,126796954.593,-2369.609,27.6,20749443.195,109039113.013,522.242,50.0
2019-03-27 21:00:38,24123961.141,126772273.057,-224.551,38.3,23819142.453,125170463.019,1206.797,43.2,24129087.766,0.0,-2369.563,25.9,20749343.938,109038591.057,521.66,50.0
2019-03-27 21:00:39,24124004.203,126772497.619,-224.523,38.4,23818912.531,125169256.11,1206.98,43.3,24129538.367,126801693.444,-2369.293,26.8,20749244.414,109038069.679,521.102,50.0
2019-03-27 21:00:40,24124046.281,126772722.048,-224.465,38.7,23818683.266,125168048.998,1207.145,43.4,24129989.031,126804062.62,-2369.254,27.3,20749145.867,109037548.81,520.492,50.4
2019-03-27 21:00:41,24124089.5,126772946.454,-224.461,38.5,23818453.703,125166841.764,1207.316,42.9,24130439.859,126806431.644,-2369.066,25.9,20749046.328,109037028.527,519.883,50.2
2019-03-27 21:00:42,24124132.094,126773170.805,-224.594,37.8,23818223.734,125165634.364,1207.551,42.9,24130891.07,126808800.537,-2368.941,25.3,20748947.953,109036508.83,519.371,49.5
2019-03-27 21:00:43,24124175.672,126773395.036,-224.223,37.8,23817993.805,125164426.805,1207.664,42.6,24131340.922,126811169.252,-2368.684,26.4,20748848.805,109035989.644,519.047,49.3
2019-03-27 21:00:44,24124217.82,126773619.265,-224.375,37.5,23817764.172,125163219.103,1207.648,43.0,24131792.859,126813537.786,-2368.543,25.3,20748750.141,109035471.099,518.109,49.6
2019-03-27 21:00:45,24124260.609,126773843.405,-224.238,38.0,23817534.273,125162011.243,1207.848,43.3,24132243.328,126815906.257,-2368.551,27.3,20748651.508,109034953.073,517.66,49.6
2019-03-27 21:00:46,24124303.602,126774067.449,-224.008,38.2,23817304.516,125160803.22,1207.93,43.0,24132694.195,126818274.546,-2368.422,26.8,20748553.289,109034435.615,517.066,49.8
2019-03-27 21:00:47,24124346.078,126774291.432,-223.934,38.8,23817075.031,125159594.99,1208.258,43.2,24133144.328,126820642.573,-2367.895,26.4,20748454.797,109033918.671,516.66,49.9
2019-03-27 21:00:48,24124389.031,126774515.406,-224.047,39.2,23816844.453,125158386.684,1208.258,42.7,24133594.992,126823010.615,-2367.926,26.8,20748356.328,109033402.365,515.926,50.2
2019-03-27 21:00:49,24124430.875,126774739.292,-223.859,39.4,23816614.594,125157178.166,1208.52,43.0,24134045.383,126825378.38,-2367.574,25.3,20748258.508,109032886.585,515.395,50.0
2019-03-27 21:00:50,24124473.875,126774963.083,-223.695,39.2,23816384.805,125155969.497,1208.699,42.9,24134495.953,126827746.094,-2367.742,25.3,20748160.32,109032371.364,514.93,50.0
2019-03-27 21:00:51,24124515.984,126775186.86,-223.609,40.0,23816154.063,125154760.667,1208.961,42.7,24134946.078,126830113.587,-2367.359,23.8,20748062.414,109031856.727,514.371,50.3
2019-03-27 21:00:52,24124558.922,126775410.591,-223.723,39.5,23815924.414,125153551.739,1208.961,43.0,0.0,0.0,0.0,0.0,20747964.344,109031342.677,513.691,50.3
2019-03-27 21:00:53,24124602.023,126775634.229,-223.703,39.4,23815694.703,125152342.624,1209.074,43.3,0.0,0.0,0.0,0.0,20747866.969,109030829.163,513.191,50.2
2019-03-27 21:00:54,24124643.938,126775857.809,-223.617,38.7,23815464.352,125151133.319,1209.438,43.3,0.0,0.0,0.0,0.0,20747769.352,109030316.215,512.723,50.0
2019-03-27 21:00:55,24124686.922,126776081.305,-223.41,38.3,23815233.984,125149923.917,1209.477,43.0,0.0,0.0,0.0,0.0,20747671.711,109029803.862,512.098,49.9
2019-03-27 21:00:56,24124728.961,126776304.758,-223.332,38.4,23815003.789,125148714.335,1209.637,42.6,0.0,0.0,0.0,0.0,20747574.25,109029292.042,511.598,50.3
2019-03-27 21:00:57,24124771.406,126776528.145,-223.355,38.0,23814773.688,125147504.578,1209.793,42.9,0.0,0.0,0.0,0.0,20747476.844,109028780.803,510.93,50.3
2019-03-27 21:00:58,24124813.906,126776751.488,-223.383,38.5,23814543.617,125146294.691,1210.082,43.3,0.0,0.0,0.0,0.0,20747379.633,109028270.115,510.531,50.5
2019-03-27 21:00:59,24124856.594,126776974.762,-223.422,38.9,23814312.945,125145084.64,1210.078,43.4,0.0,0.0,0.0,0.0,20747282.758,109027760.009,509.695,49.9
2019-03-27 21:01:00,24124898.695,126777197.954,-223.301,39.3,23814082.695,125143874.46,1210.262,43.2,0.0,0.0,0.0,0.0,20747185.602,109027250.466,509.289,50.0
2019-03-27 21:01:01,24124941.75,126777421.065,-222.977,39.1,23813852.336,125142664.073,1210.516,43.3,0.0,0.0,0.0,0.0,20747088.797,109026741.454,508.766,49.9
2019-03-27 21:01:02,24124983.445,126777644.138,-222.996,39.9,23813621.867,125141453.56,1210.602,42.6,0.0,0.0,0.0,0.0,20746992.305,109026233.069,508.086,49.8
2019-03-27 21:01:03,24125026.242,126777867.155,-223.191,39.6,23813392.0,125140242.911,1210.703,42.7,0.0,0.0,0.0,0.0,20746895.617,109025725.21,507.41,50.2
2019-03-27 21:01:04,24125068.914,126778090.049,-222.977,39.5,23813161.82,125139032.042,1210.809,42.3,0.0,0.0,0.0,0.0,20746798.859,109025217.868,506.945,50.0
2019-03-27 21:01:05,24125111.164,126778312.905,-222.816,39.2,23812931.461,125137821.06,1211.082,42.3,0.0,0.0,0.0,0.0,20746702.508,109024711.13,506.402,50.2
2019-03-27 21:01:06,24125153.242,126778535.671,-222.68,39.1,23812700.461,125136609.887,1211.266,42.5,0.0,0.0,0.0,0.0,20746606.344,109024204.921,505.973,49.9
2019-03-27 21:01:07,24125196.008,126778758.427,-222.598,39.3,23812469.688,125135398.601,1211.309,42.8,0.0,0.0,0.0,0.0,20746510.148,109023699.348,505.246,50.0
2019-03-27 21:01:08,24125238.344,126778981.165,-222.531,39.5,23812239.266,125134187.181,1211.535,42.9,0.0,0.0,0.0,0.0,20746414.211,109023194.334,504.891,50.1
2019-03-27 21:01:09,24125281.148,126779203.776,-222.578,39.2,23812008.734,125132975.557,1211.625,43.3,0.0,0.0,0.0,0.0,20746318.242,109022689.867,504.211,50.0
2019-03-27 21:01:10,24125322.68,126779426.299,-222.48,38.7,23811778.609,125131763.781,1211.828,43.7,0.0,0.0,0.0,0.0,20746222.297,109022185.955,503.609,50.0
2019-03-27 21:01:11,24125365.555,126779648.787,-222.414,38.7,23811547.352,125130551.873,1212.102,44.0,0.0,0.0,0.0,0.0,20746126.313,109021682.63,503.059,50.1
2019-03-27 21:01:12,24125408.047,126779871.193,-222.23,38.3,23811316.813,125129339.769,1212.27,43.7,0.0,0.0,0.0,0.0,20746030.5,109021179.844,502.477,50.1
2019-03-27 21:01:13,24125450.484,126780093.559,-222.129,38.4,23811085.867,125128127.576,1212.293,43.7,0.0,0.0,0.0,0.0,20745935.039,109020677.657,501.918,49.8
2019-03-27 21:01:14,24125492.313,126780315.896,-222.445,38.1,23810855.047,125126915.211,1212.34,43.5,0.0,0.0,0.0,0.0,20745839.492,109020176.047,501.184,49.8
2019-03-27 21:01:15,24125534.18,126780538.087,-222.16,38.3,23810624.688,125125702.662,1212.531,43.4,0.0,0.0,0.0,0.0,20745744.531,109019674.95,500.66,49.4
2019-03-27 21:01:16,24125577.008,126780760.238,-222.129,38.4,23810394.328,125124489.932,1212.883,43.8,0.0,0.0,0.0,0.0,20745648.867,109019174.395,500.23,49.5
2019-03-27 21:01:17,24125619.039,126780982.343,-222.137,38.6,23810163.305,125123277.104,1212.902,43.7,0.0,0.0,0.0,0.0,20745553.75,109018674.468,499.66,49.5
2019-03-27 21:01:18,24125661.164,126781204.392,-222.121,38.3,23809932.391,125122064.099,1212.949,43.1,0.0,0.0,0.0,0.0,20745458.594,109018175.091,499.082,49.8
2019-03-27 21:01:19,24125703.531,126781426.396,-222.07,38.1,23809701.859,125120850.963,1213.191,43.1,0.0,0.0,0.0,0.0,20745363.875,109017676.297,498.449,50.0
2019-03-27 21:01:20,24125746.125,126781648.273,-221.813,37.7,23809470.805,125119637.644,1213.492,43.0,0.0,0.0,0.0,0.0,20745269.133,109017178.04,497.977,49.6
2019-03-27 21:01:21,24125788.164,126781870.108,-221.789,37.9,23809239.633,125118424.211,1213.418,42.8,0.0,0.0,0.0,0.0,20745174.219,109016680.362,497.324,49.8
2019-03-27 21:01:22,24125829.875,126782091.909,-221.781,38.2,23809009.219,125117210.582,1213.641,43.3,0.0,0.0,0.0,0.0,20745079.773,109016183.232,496.879,50.2
2019-03-27 21:01:23,24125872.531,126782313.619,-221.656,38.8,23808778.055,125115996.809,1213.855,43.2,0.0,0.0,0.0,0.0,20744985.57,109015686.704,496.316,49.8
