time,C1C_1,L1C_1,D1C_1,S1C_1,C1C_2,L1C_2,D1C_2,S1C_2,C1C_3,L1C_3,D1C_3,S1C_3,C1C_4,L1C_4,D1C_4,S1C_4
2021-08-28 14:30:00,21841559.802,114778176.194,-1130.796,46.5,22918063.434,120435185.873,-1597.365,40.5,22813180.023,119884090.734,-2413.602,41.0,24736575.641,129991574.344,719.182,35.5
2021-08-28 14:30:01,21841774.513,114779306.867,-1130.937,46.5,22918367.525,120436783.342,-1597.748,40.5,22813639.311,119886504.191,-2413.508,41.0,24736438.171,129990854.747,719.674,35.5
2021-08-28 14:30:02,21841989.923,114780438.057,-1131.34,46.5,22918671.305,120438381.246,-1598.062,40.5,22814099.154,119888917.694,-2413.515,41.0,24736301.22,129990134.949,719.978,35.5
2021-08-28 14:30:03,21842206.013,114781569.93,-1131.843,46.5,22918975.669,120439979.82,-1598.637,40.75,22814557.782,119891331.512,-2413.663,41.0,24736163.51,129989415.279,719.896,35.25
2021-08-28 14:30:04,21842421.07,114782702.256,-1132.371,46.5,22919279.881,120441578.806,-1599.135,40.5,22815017.256,119893745.297,-2413.6,41.25,24736026.892,129988695.354,720.381,35.0
2021-08-28 14:30:05,21842636.476,114783834.863,-1132.963,46.75,22919583.696,120443178.007,-1599.504,40.75,22815476.883,119896158.97,-2413.761,41.25,24735889.113,129987975.107,720.437,34.75
2021-08-28 14:30:06,21842852.168,114784968.044,-1133.433,46.75,22919888.336,120444777.778,-1599.91,40.75,22815936.051,119898572.774,-2413.785,41.0,24735752.642,129987254.812,720.441,34.75
2021-08-28 14:30:07,21843067.878,114786101.676,-1133.787,46.75,22920192.872,120446377.965,-1600.343,40.75,22816395.195,119900986.613,-2413.576,41.0,24735616.287,129986534.338,720.742,34.75
2021-08-28 14:30:08,21843283.809,114787235.986,-1134.694,46.75,22920497.56,120447978.79,-1601.071,40.75,22816854.579,119903400.719,-2414.242,41.25,24735478.613,129985813.91,720.552,35.0
2021-08-28 14:30:09,21843499.768,114788370.554,-1134.736,46.75,22920801.918,120449579.822,-1601.178,40.5,22817314.257,119905814.663,-2413.912,41.5,24735339.729,129985093.122,720.74,35.25
2021-08-28 14:30:10,21843715.417,114789505.622,-1135.411,46.5,22921106.864,120451181.331,-1601.781,40.25,22817773.518,119908228.658,-2414.049,41.5,24735204.127,129984372.147,721.029,34.75
