time,C1C_1,L1C_1,D1C_1,S1C_1,C1C_2,L1C_2,D1C_2,S1C_2,C1C_3,L1C_3,D1C_3,S1C_3,C1C_4,L1C_4,D1C_4,S1C_4
2018-07-15 01:00:00,21455152.031,112747651.383,-1.82,48.6,24549990.008,129011119.252,-2199.422,35.4,22869203.898,120178550.292,-2877.918,46.0,20276049.078,106551462.419,-22.063,51.3
2018-07-15 01:00:01,21455152.922,112747653.534,-2.516,48.7,24550409.477,129013318.955,-2199.918,36.2,22869751.438,120181428.24,-2877.953,46.2,20276053.586,106551484.77,-22.68,51.3
2018-07-15 01:00:02,21455153.211,112747656.311,-3.031,48.6,24550828.305,129015519.082,-2200.363,36.6,22870299.094,120184306.241,-2877.938,46.1,20276058.047,106551507.658,-23.109,51.1
2018-07-15 01:00:03,21455154.047,112747659.716,-3.68,48.6,24551247.055,129017719.703,-2200.816,36.1,22870846.586,120187184.308,-2878.063,46.2,20276062.305,106551531.101,-23.676,51.4
2018-07-15 01:00:04,21455154.891,112747663.78,-4.383,48.4,24551665.852,129019920.7,-2201.273,35.7,22871394.328,120190062.438,-2878.172,46.0,20276066.781,106551555.12,-24.258,51.1
2018-07-15 01:00:05,21455155.617,112747668.455,-4.848,48.6,24552084.469,129022122.09,-2201.699,35.9,22871942.094,120192940.574,-2878.109,46.0,20276071.539,106551579.631,-24.707,51.0
2018-07-15 01:00:06,21455156.68,112747673.793,-5.723,48.8,24552502.953,129024323.93,-2202.059,35.8,22872489.773,120195818.789,-2878.215,45.6,20276076.367,106551604.737,-25.371,51.4
2018-07-15 01:00:07,21455158.188,112747679.832,-6.363,48.6,24552922.039,129026526.234,-2202.465,35.4,22873037.758,120198697.103,-2878.301,46.0,20276081.266,106551630.44,-25.988,51.5
2018-07-15 01:00:08,21455158.977,112747686.483,-6.977,48.5,24553341.75,129028728.925,-2202.789,36.0,22873584.977,120201575.447,-2878.328,46.3,20276086.367,106551656.659,-26.461,51.5
2018-07-15 01:00:09,21455160.5,112747693.792,-7.617,48.1,24553760.953,129030932.133,-2203.34,36.6,22874133.008,120204453.835,-2878.367,46.7,20276091.258,106551683.454,-27.086,51.3
2018-07-15 01:00:10,21455161.859,112747701.727,-8.09,48.3,24554180.063,129033135.719,-2203.809,36.2,22874680.641,120207332.292,-2878.414,46.6,20276096.773,106551710.771,-27.555,51.3
2018-07-15 01:00:11,21455163.883,112747710.328,-8.863,48.4,24554599.234,129035339.736,-2204.102,35.8,22875228.5,120210210.803,-2878.535,46.3,20276101.758,106551738.633,-27.996,51.5
2018-07-15 01:00:12,21455165.156,112747719.575,-9.605,48.9,24555018.594,129037544.196,-2204.766,35.3,22875776.422,120213089.371,-2878.617,46.3,20276107.25,106551767.097,-28.734,51.5
2018-07-15 01:00:13,21455167.203,112747729.423,-10.094,48.6,24555437.594,129039749.066,-2205.164,35.7,22876323.695,120215967.982,-2878.5,46.0,20276112.734,106551796.074,-29.164,51.5
2018-07-15 01:00:14,21455169.398,112747739.986,-10.762,48.2,24555857.484,129041954.383,-2205.512,35.4,22876871.961,120218846.695,-2878.68,46.4,20276118.453,106551825.661,-29.824,51.0
2018-07-15 01:00:15,21455171.305,112747751.135,-11.453,48.4,24556277.578,129044160.144,-2206.02,35.3,22877419.688,120221725.409,-2878.777,46.5,20276123.891,106551855.758,-30.387,50.8
2018-07-15 01:00:16,21455173.68,112747762.958,-12.023,48.7,24556697.172,129046366.299,-2206.391,35.7,22877967.492,120224604.214,-2878.789,46.5,20276129.672,106551886.441,-30.898,50.8
2018-07-15 01:00:17,21455175.492,112747775.415,-12.719,48.8,24557117.023,129048572.953,-2206.91,34.6,22878515.359,120227483.066,-2878.813,46.6,20276135.664,106551917.669,-31.367,51.0
2018-07-15 01:00:18,21455178.516,112747788.57,-13.422,49.0,24557536.68,129050780.001,-2207.375,34.6,22879063.094,120230362.021,-2878.992,46.7,20276141.875,106551949.49,-32.043,51.0
2018-07-15 01:00:19,21455181.289,112747802.338,-14.129,48.6,24557957.398,129052987.482,-2207.656,34.5,22879610.953,120233240.985,-2878.922,46.8,20276148.109,106551981.833,-32.625,51.3
2018-07-15 01:00:20,21455183.992,112747816.753,-14.75,48.7,24558377.156,129055195.449,-2208.348,35.0,22880159.102,120236120.019,-2879.047,47.1,20276154.43,106552014.781,-33.219,51.4
2018-07-15 01:00:21,21455186.656,112747831.803,-15.469,48.8,24558797.547,129057403.835,-2208.801,35.2,22880706.57,120238999.106,-2879.148,47.0,20276160.727,106552048.273,-33.859,51.4
2018-07-15 01:00:22,21455189.547,112747847.472,-15.918,48.7,24559217.266,129059612.554,-2208.992,34.7,22881254.461,120241878.212,-2879.047,47.0,20276167.008,106552082.282,-34.203,51.6
2018-07-15 01:00:23,21455192.727,112747863.805,-16.613,48.6,24559638.211,129061821.729,-2209.172,35.4,22881802.703,120244757.427,-2879.309,46.8,20276173.805,106552116.892,-34.883,51.6
2018-07-15 01:00:24,21455195.688,112747880.819,-17.32,48.7,24560058.688,129064031.407,-2209.797,35.5,22882350.602,120247636.694,-2879.27,47.1,20276180.469,106552152.051,-35.438,51.5
2018-07-15 01:00:25,21455199.375,112747898.43,-17.797,48.7,24560479.328,129066241.485,-2210.387,36.0,22882898.148,120250516.012,-2879.27,46.9,20276187.227,106552187.739,-35.938,51.8
2018-07-15 01:00:26,21455203.078,112747916.732,-18.637,49.1,24560900.578,129068451.986,-2210.66,36.4,22883446.453,120253395.379,-2879.418,46.8,20276194.344,106552223.986,-36.492,51.9
2018-07-15 01:00:27,21455206.414,112747935.63,-19.172,49.1,24561320.656,129070662.91,-2211.109,36.4,22883993.672,120256274.784,-2879.41,45.9,20276201.383,106552260.782,-37.059,51.6
2018-07-15 01:00:28,21455210.023,112747955.201,-19.766,49.1,24561741.883,129072874.272,-2211.418,36.7,22884541.914,120259154.261,-2879.383,46.3,20276208.43,106552298.139,-37.535,52.2
2018-07-15 01:00:29,21455214.109,112747975.425,-20.543,49.1,24562162.781,129075086.076,-2211.965,37.6,22885089.742,120262033.818,-2879.547,46.3,20276215.313,106552336.068,-38.188,52.2
2018-07-15 01:00:30,21455217.914,112747996.287,-21.305,49.2,24562583.469,129077298.312,-2212.324,36.9,22885637.875,120264913.416,-2879.723,46.3,20276222.852,106552374.583,-38.813,52.5
2018-07-15 01:00:31,21455221.828,112748017.787,-21.852,49.4,24563005.258,129079510.957,-2212.871,37.2,22886185.633,120267793.072,-2879.758,46.6,20276230.203,106552413.633,-39.418,52.5
2018-07-15 01:00:32,21455226.711,112748039.93,-22.402,49.0,24563425.984,129081724.018,-2213.156,37.2,22886734.055,120270672.758,-2879.66,46.3,20276237.766,106552453.226,-39.813,52.4
2018-07-15 01:00:33,21455230.727,112748062.781,-23.23,49.1,24563847.109,129083937.598,-2213.738,37.2,22887281.914,120273552.566,-2879.871,46.6,20276245.211,106552493.461,-40.57,52.7
2018-07-15 01:00:34,21455235.117,112748086.213,-23.711,48.9,24564268.563,129086151.535,-2213.984,37.2,22887829.719,120276432.37,-2879.797,46.8,20276253.156,106552534.183,-40.918,53.0
2018-07-15 01:00:35,21455239.563,112748110.348,-24.473,48.7,24564689.734,129088365.948,-2214.605,37.3,22888378.305,120279312.275,-2879.977,46.7,20276260.953,106552575.515,-41.613,53.2
2018-07-15 01:00:36,21455244.406,112748135.074,-25.191,49.0,24565111.102,129090580.769,-2215.012,37.2,22888925.914,120282192.187,-2880.066,46.7,20276269.063,106552617.351,-42.199,53.2
2018-07-15 01:00:37,21455249.367,112748160.425,-25.527,49.2,24565532.516,129092795.982,-2215.359,37.3,22889474.188,120285072.139,-2879.824,46.8,20276276.953,106552659.729,-42.477,52.8
2018-07-15 01:00:38,21455254.281,112748186.447,-26.227,49.3,24565954.484,129095011.674,-2215.789,35.8,22890021.922,120287952.159,-2879.992,46.9,20276285.234,106552702.65,-43.102,52.9
2018-07-15 01:00:39,21455259.211,112748213.157,-27.066,49.2,24566375.383,129097227.804,-2216.352,36.0,22890570.344,120290832.275,-2880.207,47.0,20276293.625,106552746.192,-43.906,53.0
2018-07-15 01:00:40,21455264.57,112748240.508,-27.656,48.9,24566798.344,129099444.356,-2216.691,35.8,22891118.266,120293712.449,-2880.258,47.0,20276301.953,106552790.281,-44.336,52.5
2018-07-15 01:00:41,21455269.773,112748268.444,-28.242,49.0,24567219.422,129101661.312,-2217.273,36.0,22891666.602,120296592.599,-2880.137,47.2,20276310.352,106552834.865,-44.91,52.8
2018-07-15 01:00:42,21455275.297,112748297.076,-28.832,49.0,24567641.164,129103878.724,-2217.727,36.2,22892214.625,120299472.857,-2880.234,46.8,20276319.219,106552880.062,-45.434,52.7
2018-07-15 01:00:43,21455280.953,112748326.358,-29.605,49.2,24568063.906,129106096.59,-2218.148,36.4,22892762.531,120302353.193,-2880.387,47.1,20276327.703,106552925.857,-46.043,52.4
