time,C1C_1,L1C_1,D1C_1,S1C_1,C1C_2,L1C_2,D1C_2,S1C_2,C1C_3,L1C_3,D1C_3,S1C_3,C1C_4,L1C_4,D1C_4,S1C_4
2021-01-05 05:30:00,24330231.583,127856229.177,-803.297,38.5,24148387.86,126900632.496,-167.832,37.5,20553817.556,108011051.917,131.327,52.5,21734482.603,114215535.88,-2436.864,48.25
2021-01-05 05:30:01,24330383.911,127857032.565,-803.119,38.0,24148419.269,126900800.49,-167.662,37.25,20553792.571,108010920.904,130.861,52.25,21734946.244,114217972.957,-2437.12,48.25
2021-01-05 05:30:02,24330537.575,127857835.797,-802.922,38.25,24148451.833,126900968.575,-167.936,37.5,20553767.746,108010790.473,130.378,52.0,21735410.472,114220410.514,-2437.539,48.5
2021-01-05 05:30:03,24330690.053,127858638.797,-802.867,38.25,24148483.065,126901136.554,-167.866,37.5,20553742.902,108010660.539,129.823,51.5,21735874.299,114222848.416,-2437.954,48.5
2021-01-05 05:30:04,24330841.787,127859441.475,-802.818,38.25,24148515.074,126901304.472,-168.188,37.25,20553718.094,108010531.05,129.003,51.5,21736338.423,114225286.645,-2438.602,48.5
2021-01-05 05:30:05,24330994.897,127860244.227,-802.667,38.25,24148547.985,126901472.643,-168.085,37.25,20553693.625,108010402.378,128.422,51.0,21736802.526,114227725.562,-2439.16,48.75
2021-01-05 05:30:06,24331147.362,127861046.866,-802.404,38.0,24148579.065,126901640.959,-168.324,37.25,20553669.432,108010274.357,127.975,51.0,21737266.551,114230164.975,-2439.434,48.75
2021-01-05 05:30:07,24331300.241,127861849.235,-802.435,38.0,24148611.358,126901809.183,-168.451,37.0,20553645.014,108010146.832,126.992,50.75,21737731.196,114232604.741,-2440.207,48.75
2021-01-05 05:30:08,24331452.623,127862651.362,-802.188,38.0,24148644.305,126901977.334,-168.27,37.0,20553620.868,108010019.765,126.682,50.25,21738195.403,114235044.855,-2440.551,48.5
2021-01-05 05:30:09,24331606.5,127863453.335,-802.142,38.0,24148674.995,126902145.586,-168.292,37.0,20553596.822,108009893.328,125.916,50.25,21738659.74,114237485.441,-2441.116,48.5
2021-01-05 05:30:10,24331757.851,127864255.058,-801.897,38.0,24148706.506,126902313.82,-168.595,37.0,20553572.962,108009767.399,125.387,50.0,21739124.161,114239926.401,-2441.486,48.5
2021-01-05 05:30:11,24331910.841,127865056.722,-801.746,38.0,24148739.939,126902482.165,-168.275,37.0,20553548.966,108009642.129,124.943,49.75,21739588.908,114242367.887,-2441.735,48.5
2021-01-05 05:30:12,24332063.39,127865858.008,-801.287,38.0,24148771.876,126902650.383,-168.459,37.0,20553525.447,108009517.253,124.402,49.75,21740053.535,114244809.639,-2442.146,48.5
2021-01-05 05:30:13,24332216.122,127866659.161,-801.464,38.25,24148803.016,126902818.63,-168.595,37.0,20553501.746,108009392.963,123.631,49.5,21740518.103,114247251.835,-2442.807,48.5
2021-01-05 05:30:14,24332368.606,127867460.189,-801.139,38.5,24148835.627,126902986.965,-168.62,37.0,20553478.269,108009269.286,123.173,49.5,21740982.631,114249694.517,-2443.139,48.5
2021-01-05 05:30:15,24332520.214,127868261.165,-800.678,38.5,24148867.426,126903155.45,-168.26,37.0,20553454.651,108009146.33,122.838,49.25,21741447.726,114252137.797,-2443.438,48.5
2021-01-05 05:30:16,24332673.737,127869062.157,-800.638,38.5,24148900.232,126903324.194,-168.423,37.0,20553431.447,108009024.137,122.212,49.25,21741912.644,114254581.668,-2443.786,48.5
2021-01-05 05:30:17,24332825.313,127869862.988,-800.219,38.75,24148930.574,126903492.94,-168.185,37.25,20553408.181,108008902.547,121.783,49.25,21742378.195,114257026.023,-2444.095,48.5
