time,C1C_1,L1C_1,D1C_1,S1C_1,C1C_2,L1C_2,D1C_2,S1C_2,C1C_3,L1C_3,D1C_3,S1C_3,C1C_4,L1C_4,D1C_4,S1C_4
2019-07-13 10:15:00,21679071.7,113924321.884,-2933.384,47.75,23562301.853,123820741.136,-3200.979,41.938,21675979.111,113908047.444,-2224.546,46.938,21683554.835,113947868.728,1581.417,49.312
2019-07-13 10:15:01,21679629.974,113927255.424,-2933.686,47.688,23562910.975,123823942.06,-3201.063,42.094,21676402.464,113910272.171,-2224.888,46.906,21683253.943,113946287.28,1581.462,49.281
2019-07-13 10:15:02,21680188.216,113930189.294,-2934.016,47.688,23563520.086,123827143.162,-3201.117,42.219,21676825.959,113912497.35,-2225.301,46.844,21682952.966,113944705.831,1581.451,49.188
2019-07-13 10:15:03,21680746.577,113933123.486,-2934.404,47.719,23564129.321,123830344.466,-3201.492,42.25,21677249.443,113914722.998,-2225.982,46.875,21682652.042,113943124.39,1581.329,49.281
2019-07-13 10:15:04,21681305.024,113936058.149,-2934.895,47.812,23564738.795,123833546.092,-3201.789,42.344,21677673.082,113916949.243,-2226.601,47.062,21682351.158,113941543.086,1581.167,49.469
2019-07-13 10:15:05,21681863.568,113938993.285,-2935.307,47.812,23565348.113,123836748.043,-3202.128,42.156,21678096.833,113919176.084,-2227.102,46.969,21682050.297,113939961.939,1581.121,49.406
2019-07-13 10:15:06,21682422.181,113941928.833,-2935.849,47.844,23565957.561,123839950.255,-3202.338,42.062,21678520.627,113921403.467,-2227.727,46.969,21681749.362,113938380.891,1580.945,49.375
2019-07-13 10:15:07,21682980.877,113944864.777,-2936.157,47.719,23566566.899,123843152.73,-3202.551,42.094,21678944.614,113923631.369,-2228.086,47.0,21681448.513,113936799.902,1580.992,49.406
2019-07-13 10:15:08,21683539.619,113947801.031,-2936.369,47.781,23567176.28,123846355.373,-3202.703,42.062,21679368.633,113925859.732,-2228.589,46.906,21681147.618,113935218.898,1580.985,49.375
2019-07-13 10:15:09,21684098.43,113950737.689,-2936.845,47.719,23567785.726,123849558.262,-3203.091,42.125,21679792.784,113928088.613,-2229.163,46.906,21680846.737,113933637.941,1580.937,49.312
2019-07-13 10:15:10,21684657.316,113953674.805,-2937.351,47.844,23568395.205,123852761.456,-3203.292,42.125,21680217.069,113930318.085,-2229.79,46.719,21680545.923,113932057.123,1580.739,49.406
2019-07-13 10:15:11,21685216.327,113956612.407,-2937.911,47.719,23569004.715,123855965.004,-3203.65,42.0,21680641.34,113932548.163,-2230.365,46.875,21680245.093,113930476.45,1580.619,49.219
2019-07-13 10:15:12,21685775.363,113959550.422,-2938.165,47.906,23569614.385,123859168.816,-3203.811,42.0,21681065.763,113934778.795,-2230.887,46.812,21679944.284,113928895.891,1580.551,49.344
2019-07-13 10:15:13,21686334.47,113962488.727,-2938.562,47.875,23570224.046,123862372.77,-3204.08,42.0,21681490.329,113937009.831,-2231.267,46.938,21679643.512,113927315.268,1580.575,49.344
2019-07-13 10:15:14,21686893.702,113965427.431,-2938.902,47.938,23570833.788,123865576.982,-3204.329,42.188,21681915.056,113939241.416,-2231.893,46.969,21679342.77,113925734.751,1580.459,49.406
2019-07-13 10:15:15,21687453.069,113968366.574,-2939.349,47.875,23571443.685,123868781.467,-3204.617,41.969,21682339.862,113941473.553,-2232.405,46.844,21679041.99,113924154.336,1580.403,49.344
