time,C1C_1,L1C_1,D1C_1,S1C_1,C1C_2,L1C_2,D1C_2,S1C_2,C1C_3,L1C_3,D1C_3,S1C_3,C1C_4,L1C_4,D1C_4,S1C_4
2018-07-15 07:15:00,0.0,0.0,0.0,0.0,22884360.539,120258218.526,2419.879,43.9,20644386.617,108487001.878,1339.883,48.4,20448674.719,107458562.781,-1103.813,50.3
2018-07-15 07:15:01,0.0,0.0,0.0,0.0,22883900.406,120255798.646,2419.941,44.2,20644131.813,108485662.375,1339.195,48.5,20448885.055,107459666.979,-1104.559,50.5
2018-07-15 07:15:02,0.0,0.0,0.0,0.0,22883439.578,120253378.718,2419.82,44.6,20643876.734,108484323.519,1338.5,49.0,20449095.305,107460771.779,-1105.172,50.6
2018-07-15 07:15:03,0.0,0.0,0.0,0.0,22882979.0,120250958.665,2420.035,44.6,20643622.148,108482985.275,1337.949,48.4,20449305.648,107461877.183,-1105.734,50.7
2018-07-15 07:15:04,0.0,0.0,0.0,0.0,22882518.609,120248538.574,2420.156,44.7,20643367.797,108481647.676,1337.289,48.6,20449515.875,107462983.211,-1106.379,51.5
2018-07-15 07:15:05,0.0,0.0,0.0,0.0,22882058.0,120246118.406,2420.215,44.6,20643113.539,108480310.711,1336.703,48.8,20449726.547,107464089.82,-1106.855,51.6
2018-07-15 07:15:06,0.0,0.0,0.0,0.0,22881597.32,120243698.164,2420.234,44.3,20642858.625,108478974.386,1335.926,48.6,20449937.172,107465197.069,-1107.605,51.5
2018-07-15 07:15:07,0.0,0.0,0.0,0.0,22881136.883,120241277.853,2420.27,44.4,20642604.5,108477638.701,1335.328,48.7,20450148.281,107466304.899,-1108.176,50.3
2018-07-15 07:15:08,0.0,0.0,0.0,0.0,22880676.031,120238857.505,2420.277,44.1,20642350.867,108476303.691,1334.664,48.7,20450359.18,107467413.403,-1108.836,50.3
2018-07-15 07:15:09,0.0,0.0,0.0,0.0,22880215.641,120236437.026,2420.543,43.7,20642096.758,108474969.286,1334.125,48.8,20450570.078,107468522.484,-1109.328,50.4
2018-07-15 07:15:10,0.0,0.0,0.0,0.0,22879755.008,120234016.493,2420.691,43.8,20641843.266,108473635.499,1333.527,49.1,20450781.367,107469632.144,-1109.914,50.9
2018-07-15 07:15:11,0.0,0.0,0.0,0.0,22879294.641,120231595.927,2420.547,43.8,20641589.242,108472302.41,1332.746,49.4,20450992.555,107470742.457,-1110.617,51.0
2018-07-15 07:15:12,0.0,0.0,0.0,0.0,22878833.492,120229175.243,2420.777,43.5,20641335.969,108470969.901,1332.281,49.1,20451203.906,107471853.352,-1111.156,51.3
2018-07-15 07:15:13,0.0,0.0,0.0,0.0,22878373.281,120226754.511,2420.707,43.9,20641082.07,108469638.065,1331.488,48.5,20451415.266,107472964.866,-1111.793,51.2
