time,C1C_1,L1C_1,D1C_1,S1C_1,C1C_2,L1C_2,D1C_2,S1C_2,C1C_3,L1C_3,D1C_3,S1C_3,C1C_4,L1C_4,D1C_4,S1C_4
2018-12-17 18:45:00,24901264.703,130856930.198,-3246.215,43.4,25223353.852,132549857.605,637.066,37.7,23710870.164,124601456.376,1232.117,44.0,0.0,0.0,0.0,0.0
2018-12-17 18:45:01,24901882.625,130860176.348,-3246.195,43.6,25223231.82,132549220.708,636.902,37.3,23710635.227,124600224.302,1232.051,44.4,0.0,0.0,0.0,0.0
2018-12-17 18:45:02,24902499.727,130863422.689,-3246.348,43.2,25223110.859,132548584.224,636.344,37.4,23710401.055,124598992.495,1231.648,44.7,0.0,0.0,0.0,0.0
2018-12-17 18:45:03,24903117.906,130866669.14,-3246.598,43.3,25222990.813,132547948.044,636.152,38.0,23710166.438,124597760.913,1231.496,44.7,0.0,0.0,0.0,0.0
2018-12-17 18:45:04,24903735.523,130869915.725,-3246.66,43.4,25222869.492,132547312.203,635.77,37.7,23709932.594,124596529.594,1231.203,45.0,0.0,0.0,0.0,0.0
2018-12-17 18:45:05,24904353.234,130873162.462,-3246.773,43.3,25222749.055,132546676.723,635.402,38.1,23709698.133,124595298.497,1230.961,44.5,0.0,0.0,0.0,0.0
2018-12-17 18:45:06,24904970.703,130876409.347,-3246.926,43.2,25222627.344,132546041.565,634.906,38.2,23709464.227,124594067.666,1230.695,44.1,0.0,0.0,0.0,0.0
2018-12-17 18:45:07,24905588.914,130879656.336,-3247.105,43.1,25222506.82,132545406.74,634.691,38.3,23709229.68,124592837.048,1230.461,44.1,0.0,0.0,0.0,0.0
2018-12-17 18:45:08,24906207.461,130882903.456,-3247.098,43.0,25222385.719,132544772.219,634.375,37.9,23708995.617,124591606.674,1230.293,43.9,0.0,0.0,0.0,0.0
2018-12-17 18:45:09,24906824.883,130886150.718,-3247.184,43.4,25222264.805,132544138.066,634.07,37.8,23708761.555,124590376.535,1230.066,44.5,0.0,0.0,0.0,0.0
2018-12-17 18:45:10,24907443.008,130889398.165,-3247.523,43.5,25222144.805,132543504.269,633.691,37.9,23708527.281,124589146.666,1229.707,44.7,0.0,0.0,0.0,0.0
2018-12-17 18:45:11,24908061.078,130892645.711,-3247.523,43.6,25222023.547,132542870.781,633.305,37.9,23708293.672,124587917.011,1229.574,44.7,0.0,0.0,0.0,0.0
2018-12-17 18:45:12,24908679.07,130895893.448,-3247.754,43.3,25221903.633,132542237.694,633.027,37.9,23708059.539,124586687.668,1229.242,44.7,0.0,0.0,0.0,0.0
2018-12-17 18:45:13,24909296.789,130899141.279,-3247.836,43.2,25221782.883,132541604.898,632.777,37.3,23707825.844,124585458.514,1229.008,45.1,0.0,0.0,0.0,0.0
2018-12-17 18:45:14,24909915.188,130902389.276,-3248.047,43.2,25221662.211,132540972.449,632.281,37.5,23707592.398,124584229.604,1228.793,44.8,0.0,0.0,0.0,0.0
2018-12-17 18:45:15,24910533.359,130905637.369,-3248.141,43.2,25221541.242,132540340.344,631.977,37.5,23707358.289,124583000.941,1228.551,44.1,0.0,0.0,0.0,0.0
