time,C1C_1,L1C_1,D1C_1,S1C_1,C1C_2,L1C_2,D1C_2,S1C_2,C1C_3,L1C_3,D1C_3,S1C_3,C1C_4,L1C_4,D1C_4,S1C_4
2019-02-02 08:45:00,24384634.069,128142133.319,2185.845,40.438,24605015.259,129300242.514,1585.67,38.438,24201884.591,127181783.75,1411.302,41.75,22877259.277,120220884.405,-2704.375,46.094
2019-02-02 08:45:01,24384218.108,128139947.338,2186.207,40.156,24604713.559,129298656.92,1585.373,38.438,24201616.123,127180372.447,1411.332,41.656,22877773.797,120223588.969,-2704.716,46.219
2019-02-02 08:45:02,24383802.129,128137761.081,2186.362,39.969,24604411.797,129297071.484,1585.286,38.562,24201347.665,127178961.119,1411.293,41.469,22878288.528,120226293.9,-2705.188,46.25
2019-02-02 08:45:03,24383385.989,128135574.677,2186.434,40.5,24604110.124,129295486.345,1585.064,38.375,24201079.292,127177549.897,1411.13,41.375,22878803.311,120228999.326,-2705.72,46.125
2019-02-02 08:45:04,24382969.852,128133388.12,2186.714,40.312,24603808.69,129293901.507,1584.681,38.281,24200810.766,127176138.802,1411.155,41.156,22879318.263,120231705.256,-2706.185,46.062
2019-02-02 08:45:05,24382553.881,128131201.362,2186.699,40.062,24603506.949,129292316.91,1584.457,38.156,24200542.305,127174727.759,1411.01,40.719,22879833.251,120234411.621,-2706.573,46.094
2019-02-02 08:45:06,24382137.737,128129014.462,2186.85,40.156,24603205.585,129290732.6,1584.236,38.188,24200273.789,127173316.841,1410.799,40.281,22880348.285,120237118.5,-2707.15,46.156
2019-02-02 08:45:07,24381721.378,128126827.381,2187.208,39.844,24602904.029,129289148.581,1583.852,38.062,24200005.296,127171906.009,1410.802,40.125,22880863.576,120239825.851,-2707.511,46.062
2019-02-02 08:45:08,24381304.959,128124640.114,2187.411,39.656,24602602.622,129287564.784,1583.724,38.094,24199736.488,127170495.239,1410.615,39.656,22881378.836,120242533.651,-2708.075,46.062
2019-02-02 08:45:09,24380888.753,128122452.68,2187.625,39.562,24602301.394,129285981.291,1583.381,38.031,24199467.86,127169084.549,1410.643,39.156,22881894.262,120245241.943,-2708.487,45.844
2019-02-02 08:45:10,24380472.571,128120265.074,2187.693,39.75,24602000.183,129284398.05,1583.082,37.906,24199199.143,127167673.971,1410.525,39.156,22882409.736,120247950.717,-2709.028,45.625
2019-02-02 08:45:11,24380056.248,128118077.271,2187.866,39.938,24601698.674,129282815.054,1583.008,37.906,24198930.461,127166263.432,1410.596,39.688,22882925.198,120250659.916,-2709.396,45.625
2019-02-02 08:45:12,24379639.862,128115889.163,2188.174,40.125,24601397.558,129281232.213,1582.611,37.781,24198661.915,127164852.884,1410.542,40.375,22883440.747,120253369.478,-2709.806,45.719
2019-02-02 08:45:13,24379223.552,128113700.914,2188.254,40.094,24601096.322,129279649.654,1582.284,37.594,24198393.665,127163442.428,1410.446,40.812,22883956.429,120256079.531,-2710.304,45.781
2019-02-02 08:45:14,24378807.124,128111512.498,2188.54,40.094,24600795.088,129278067.365,1582.249,37.781,24198125.341,127162032.094,1410.346,41.562,22884472.284,120258790.087,-2710.883,45.688
2019-02-02 08:45:15,24378390.687,128109323.98,2188.561,40.25,24600493.947,129276485.434,1581.745,37.844,24197857.281,127160621.917,1410.085,41.812,22884988.162,120261501.171,-2711.337,45.781
2019-02-02 08:45:16,24377974.412,128107135.263,2188.923,40.062,24600192.724,129274903.723,1581.628,37.75,24197589.264,127159211.787,1410.133,41.531,22885504.199,120264212.7,-2711.711,45.781
2019-02-02 08:45:17,24377557.775,128104946.256,2189.172,39.75,24599891.545,129273322.187,1581.423,37.688,24197321.168,127157801.629,1410.011,41.031,22886020.248,120266924.606,-2712.158,45.844
2019-02-02 08:45:18,24377141.289,128102757.179,2189.09,39.844,24599590.61,129271740.995,1580.946,37.5,24197053.013,127156391.658,1409.922,40.938,22886536.4,120269637.064,-2712.76,46.031
2019-02-02 08:45:19,24376724.722,128100567.911,2189.374,39.469,24599289.966,129270160.065,1580.881,37.562,24196784.749,127154981.754,1409.841,40.406,22887052.657,120272349.985,-2713.077,46.156
2019-02-02 08:45:20,24376307.993,128098378.424,2189.676,39.312,24598989.555,129268579.369,1580.553,37.281,24196516.365,127153571.887,1409.8,39.75,22887569.113,120275063.329,-2713.532,46.219
2019-02-02 08:45:21,24375891.296,128096188.748,2189.75,39.438,24598689.041,129266998.894,1580.34,37.469,24196247.864,127152162.086,1409.745,39.375,22888085.665,120277777.126,-2714.02,46.156
2019-02-02 08:45:22,24375474.538,128093998.929,2189.827,39.062,24598388.212,129265418.734,1579.874,37.375,24195979.56,127150752.404,1409.568,39.312,22888602.275,120280491.425,-2714.562,46.031
2019-02-02 08:45:23,24375057.985,128091808.982,2189.973,39.0,24598087.741,129263838.895,1579.685,37.312,24195711.143,127149342.859,1409.416,39.406,22889118.899,120283206.25,-2715.071,46.031
2019-02-02 08:45:24,24374641.192,128089618.863,2190.124,39.25,24597787.118,129262259.285,1579.505,37.312,24195442.736,127147933.397,1409.527,39.688,22889635.529,120285921.536,-2715.497,46.094
2019-02-02 08:45:25,24374224.328,128087428.504,2190.421,39.375,24597486.741,129260679.915,1579.194,37.375,24195174.396,127146523.969,1409.404,40.188,22890152.32,120288637.225,-2715.864,46.25
2019-02-02 08:45:26,24373807.607,128085237.893,2190.689,39.031,24597186.075,129259100.735,1579.008,37.094,24194905.953,127145114.565,1409.433,40.625,22890669.07,120291353.329,-2716.328,46.25
2019-02-02 08:45:27,24373390.86,128083047.132,2190.748,38.875,24596885.402,129257521.831,1578.719,37.094,24194637.803,127143705.254,1409.21,41.125,22891185.975,120294069.907,-2716.874,46.156
2019-02-02 08:45:28,24372973.816,128080856.191,2191.031,38.906,24596585.014,129255943.205,1578.555,37.094,24194369.796,127142296.04,1409.149,41.406,22891702.926,120296786.97,-2717.311,46.094
2019-02-02 08:45:29,24372556.879,128078665.08,2191.138,39.0,24596284.6,129254364.82,1578.302,37.156,24194101.8,127140886.91,1409.114,41.281,22892220.056,120299504.482,-2717.743,46.219
2019-02-02 08:45:30,24372139.875,128076473.823,2191.338,39.094,24595984.214,129252786.729,1578.046,37.125,24193833.852,127139477.886,1409.03,40.938,22892737.282,120302222.497,-2718.235,46.438
2019-02-02 08:45:31,24371722.934,128074282.418,2191.557,39.312,24595684.071,129251208.942,1577.833,37.25,24193565.843,127138068.954,1408.912,40.75,22893254.605,120304940.993,-2718.653,46.594
2019-02-02 08:45:32,24371305.92,128072090.774,2191.797,39.125,24595384.045,129249631.347,1577.49,37.156,24193297.844,127136660.062,1408.806,40.75,22893772.053,120307659.91,-2719.14,46.531
2019-02-02 08:45:33,24370888.724,128069898.953,2191.84,39.188,24595084.19,129248054.012,1577.173,37.188,24193029.743,127135251.251,1408.821,40.625,22894289.601,120310379.288,-2719.646,46.406
2019-02-02 08:45:34,24370471.655,128067706.968,2192.023,39.062,24594784.012,129246476.951,1576.716,36.969,24192761.626,127133842.535,1408.686,40.25,22894807.242,120313099.134,-2720.036,46.219
2019-02-02 08:45:35,24370054.33,128065514.791,2192.135,39.062,24594484.076,129244900.123,1576.66,37.094,24192493.604,127132433.881,1408.616,39.719,22895324.873,120315819.447,-2720.519,46.188
