time,C1C_1,L1C_1,D1C_1,S1C_1,C1C_2,L1C_2,D1C_2,S1C_2,C1C_3,L1C_3,D1C_3,S1C_3,C1C_4,L1C_4,D1C_4,S1C_4
2019-01-07 07:30:00,21834056.4,114738761.103,-1704.154,48.75,24380092.364,128118310.494,3314.251,39.25,20184088.856,106068146.726,220.845,53.0,22022229.377,115727694.527,2099.195,52.25
2019-01-07 07:30:01,21833731.971,114737057.066,-1703.89,49.0,24380723.169,128121624.855,3314.551,39.0,20184130.878,106068367.775,221.26,53.25,22022628.641,115729793.869,2099.523,52.25
2019-01-07 07:30:02,21833407.731,114735353.281,-1703.7,49.0,24381353.044,128124939.476,3314.88,39.25,20184172.935,106068589.24,221.629,53.25,22023028.126,115731893.518,2099.833,52.0
2019-01-07 07:30:03,21833083.669,114733649.778,-1703.432,48.75,24381984.542,128128254.375,3315.15,39.0,20184215.215,106068811.119,222.064,53.0,22023427.661,115733993.475,2100.11,51.75
2019-01-07 07:30:04,21832759.387,114731946.55,-1703.119,48.5,24382614.814,128131569.506,3315.288,39.0,20184257.663,106069033.421,222.53,53.0,22023827.541,115736093.746,2100.425,51.75
2019-01-07 07:30:05,21832435.315,114730243.578,-1702.842,49.0,24383246.215,128134884.93,3315.557,39.25,20184299.964,106069256.131,222.938,52.75,22024227.437,115738194.325,2100.753,51.75
2019-01-07 07:30:06,21832111.774,114728540.877,-1702.575,49.25,24383876.948,128138200.63,3315.927,39.25,20184342.24,106069479.259,223.348,53.0,22024627.108,115740295.214,2101.065,52.0
2019-01-07 07:30:07,21831787.488,114726838.453,-1702.262,49.25,24384508.649,128141516.583,3316.141,39.25,20184384.752,106069702.8,223.749,53.25,22025027.0,115742396.413,2101.36,52.0
2019-01-07 07:30:08,21831463.662,114725136.287,-1702.022,49.75,24385138.923,128144832.811,3316.472,39.25,20184427.635,106069926.757,224.15,53.25,22025426.876,115744497.913,2101.669,52.0
2019-01-07 07:30:09,21831139.705,114723434.396,-1701.744,49.5,24385770.398,128148149.308,3316.54,39.5,20184470.106,106070151.131,224.558,53.25,22025826.629,115746599.733,2101.973,52.0
2019-01-07 07:30:10,21830815.637,114721732.766,-1701.502,49.25,24386401.862,128151466.086,3316.783,39.5,20184513.087,106070375.931,225.017,53.0,22026226.574,115748701.86,2102.273,52.0
2019-01-07 07:30:11,21830491.939,114720031.419,-1701.194,49.25,24387032.579,128154783.151,3317.273,39.5,20184555.936,106070601.139,225.411,53.0,22026626.659,115750804.291,2102.58,52.0
2019-01-07 07:30:12,21830168.469,114718330.324,-1700.968,49.25,24387663.728,128158100.453,3317.423,39.75,20184598.656,106070826.769,225.825,53.0,22027026.946,115752907.026,2102.865,52.0
2019-01-07 07:30:13,21829844.644,114716629.512,-1700.668,49.25,24388295.277,128161418.031,3317.75,39.75,20184641.685,106071052.814,226.263,53.0,22027427.336,115755010.072,2103.225,52.0
2019-01-07 07:30:14,21829520.86,114714928.968,-1700.397,49.25,24388927.318,128164735.859,3317.874,40.0,20184684.812,106071279.269,226.665,53.0,22027827.462,115757113.422,2103.501,52.0
2019-01-07 07:30:15,21829197.504,114713228.697,-1700.093,49.0,24389558.577,128168053.975,3318.091,39.75,20184727.972,106071506.144,227.095,53.0,22028227.765,115759217.092,2103.808,52.0
2019-01-07 07:30:16,21828874.06,114711528.686,-1699.851,48.75,24390189.642,128171372.382,3318.667,39.75,20184771.162,106071733.432,227.5,53.0,22028628.136,115761321.071,2104.165,52.0
2019-01-07 07:30:17,21828550.596,114709828.948,-1699.536,49.0,24390821.47,128174691.045,3318.885,39.75,20184814.365,106071961.134,227.907,53.0,22029028.491,115763425.359,2104.458,52.0
2019-01-07 07:30:18,21828226.93,114708129.47,-1699.296,48.75,24391453.177,128178009.952,3318.896,39.75,20184857.981,106072189.252,228.347,52.75,22029428.902,115765529.952,2104.761,52.0
