time,C1C_1,L1C_1,D1C_1,S1C_1,C1C_2,L1C_2,D1C_2,S1C_2,C1C_3,L1C_3,D1C_3,S1C_3,C1C_4,L1C_4,D1C_4,S1C_4
2018-12-17 22:15:00,23027189.844,121008867.479,2978.98,43.0,21105702.977,110911291.236,-1502.332,48.2,23230491.898,122077196.678,-2028.137,39.8,24219236.508,127272979.082,-2294.051,35.6
2018-12-17 22:15:01,23026622.75,121005888.576,2978.504,43.1,21105989.469,110912793.605,-1502.699,48.2,23230877.859,122079224.871,-2028.465,40.2,24219673.203,127275273.002,-2293.977,35.6
2018-12-17 22:15:02,23026056.016,121002909.96,2978.348,43.1,21106275.109,110914296.105,-1502.707,48.2,23231263.609,122081253.253,-2028.555,39.9,24220109.492,127277566.749,-2293.695,35.6
2018-12-17 22:15:03,23025489.477,120999931.761,2978.035,42.7,21106561.445,110915798.806,-1502.805,48.0,23231649.758,122083281.841,-2028.645,40.6,24220546.484,127279860.404,-2293.551,35.9
2018-12-17 22:15:04,23024922.273,120996953.889,2977.645,42.6,21106847.078,110917301.639,-1502.961,48.0,23232036.0,122085310.68,-2028.949,40.9,24220982.508,127282153.998,-2293.664,35.2
2018-12-17 22:15:05,23024355.867,120993976.372,2977.234,42.4,21107132.898,110918804.646,-1503.148,47.9,23232422.023,122087339.7,-2029.152,40.8,24221418.711,127284447.419,-2293.473,35.8
2018-12-17 22:15:06,23023789.086,120990999.178,2976.945,42.4,21107419.281,110920307.8,-1503.285,47.9,23232807.719,122089368.913,-2029.395,40.5,24221855.625,127286740.704,-2293.324,35.9
2018-12-17 22:15:07,23023222.188,120988022.318,2976.645,42.5,21107705.047,110921811.124,-1503.434,48.0,23233193.938,122091398.35,-2029.734,40.6,24222292.047,127289033.894,-2293.035,35.7
2018-12-17 22:15:08,23022655.945,120985045.837,2976.395,42.3,21107991.406,110923314.599,-1503.578,48.1,23233579.852,122093427.925,-2029.809,40.5,24222727.828,127291326.947,-2292.996,36.3
2018-12-17 22:15:09,23022089.891,120982069.74,2975.852,42.0,21108277.484,110924818.29,-1503.82,48.3,23233966.18,122095457.801,-2029.855,40.9,24223164.055,127293619.922,-2292.871,36.0
2018-12-17 22:15:10,23021523.398,120979093.984,2975.457,42.2,21108563.688,110926322.124,-1504.039,48.3,23234353.453,122097487.873,-2030.102,40.9,24223600.172,127295912.744,-2292.824,36.3
2018-12-17 22:15:11,23020957.031,120976118.526,2975.195,41.8,21108849.93,110927826.081,-1504.098,48.0,23234739.672,122099518.12,-2030.426,41.2,24224036.375,127298205.427,-2292.77,36.4
2018-12-17 22:15:12,23020391.0,120973143.426,2974.898,41.4,21109135.945,110929330.271,-1504.297,48.2,23235125.922,122101548.631,-2030.652,41.2,24224473.023,127300498.07,-2292.543,36.6
2018-12-17 22:15:13,23019825.141,120970168.659,2974.559,41.9,21109422.289,110930834.572,-1504.547,47.9,23235512.234,122103579.309,-2030.867,40.8,24224909.469,127302790.538,-2292.488,36.1
2018-12-17 22:15:14,23019258.555,120967194.287,2974.258,41.8,21109708.344,110932339.012,-1504.574,47.8,23235898.516,122105610.151,-2031.023,40.6,24225345.211,127305082.831,-2292.113,36.2
2018-12-17 22:15:15,23018693.336,120964220.274,2973.797,41.9,21109994.844,110933843.705,-1504.77,48.0,23236285.18,122107641.281,-2031.535,40.4,24225781.797,127307375.146,-2292.387,36.1
2018-12-17 22:15:16,23018127.352,120961246.573,2973.477,42.1,21110281.594,110935348.508,-1504.902,48.0,23236671.516,122109672.558,-2031.504,41.0,24226218.516,127309667.229,-2292.129,36.5
2018-12-17 22:15:17,23017561.469,120958273.232,2973.07,42.0,21110567.773,110936853.504,-1505.148,48.4,23237058.141,122111704.111,-2031.777,40.7,24226654.672,127311959.225,-2292.098,36.6
2018-12-17 22:15:18,23016995.906,120955300.261,2972.77,42.2,21110854.328,110938358.664,-1505.305,48.5,23237445.313,122113735.808,-2031.922,40.7,24227090.5,127314251.181,-2291.789,36.6
2018-12-17 22:15:19,23016430.172,120952327.629,2972.438,42.0,21111140.477,110939863.946,-1505.488,47.9,23237830.93,122115767.708,-2031.996,40.3,24227526.664,127316542.885,-2291.645,36.4
2018-12-17 22:15:20,23015864.992,120949355.392,2971.957,42.0,21111427.109,110941369.431,-1505.563,48.0,23238218.188,122117799.863,-2032.289,40.7,24227962.484,127318834.56,-2291.566,35.8
2018-12-17 22:15:21,23015298.656,120946383.457,2971.574,41.9,21111713.672,110942875.071,-1505.82,48.0,23238604.719,122119832.201,-2032.633,40.8,24228399.25,127321126.104,-2291.516,36.2
2018-12-17 22:15:22,23014733.508,120943411.863,2971.375,42.5,21112000.164,110944380.802,-1505.699,47.9,23238991.227,122121864.636,-2032.531,40.8,24228835.375,127323417.468,-2291.371,35.7
2018-12-17 22:15:23,23014168.109,120940440.657,2970.992,42.1,21112286.664,110945886.778,-1506.137,48.0,23239378.203,122123897.408,-2032.836,40.5,24229270.773,127325708.783,-2291.406,36.3
2018-12-17 22:15:24,23013602.797,120937469.811,2970.59,42.0,21112573.43,110947392.879,-1506.301,47.9,23239765.188,122125930.356,-2033.152,39.8,24229706.641,127327999.923,-2291.137,36.1
2018-12-17 22:15:25,23013037.461,120934499.288,2970.289,42.0,21112859.797,110948899.146,-1506.422,48.3,23240152.555,122127963.467,-2033.203,40.2,24230142.203,127330290.946,-2291.109,35.4
2018-12-17 22:15:26,23012472.0,120931529.149,2969.988,42.1,21113146.586,110950405.591,-1506.652,48.1,23240539.125,122129996.826,-2033.66,40.3,24230577.953,127332581.894,-2291.023,35.7
2018-12-17 22:15:27,23011906.898,120928559.223,2969.734,41.6,21113433.063,110951912.152,-1506.691,48.1,23240926.023,122132030.307,-2033.355,40.2,24231013.703,127334872.622,-2290.613,35.6
2018-12-17 22:15:28,23011342.141,120925589.802,2969.309,42.1,21113720.023,110953418.948,-1506.883,47.9,23241313.117,122134064.143,-2033.902,39.9,24231449.578,127337163.358,-2290.633,35.3
