time,C1C_1,L1C_1,D1C_1,S1C_1,C1C_2,L1C_2,D1C_2,S1C_2,C1C_3,L1C_3,D1C_3,S1C_3,C1C_4,L1C_4,D1C_4,S1C_4
2021-01-05 21:30:00,21897511.132,115072235.771,1625.575,50.75,23876703.634,125472921.094,2524.873,39.0,22322754.332,117306933.938,-2985.183,42.0,20866687.162,109655208.355,-929.555,50.25
2021-01-05 21:30:01,21897201.906,115070610.248,1625.446,50.75,23876221.535,125470396.08,2525.172,39.0,22323322.714,117309919.241,-2985.208,41.75,20866864.444,109656138.14,-929.97,50.25
2021-01-05 21:30:02,21896892.888,115068985.084,1624.922,50.75,23875742.17,125467871.106,2524.994,39.25,22323891.016,117312904.901,-2985.873,41.75,20867041.511,109657068.536,-930.738,50.5
2021-01-05 21:30:03,21896583.587,115067360.298,1624.834,50.75,23875260.967,125465346.123,2525.22,39.25,22324459.15,117315890.887,-2985.936,41.75,20867218.532,109657999.576,-931.138,50.25
2021-01-05 21:30:04,21896274.267,115065735.576,1624.577,50.75,23874780.78,125462820.843,2525.441,39.25,22325026.986,117318876.909,-2986.121,41.5,20867396.054,109658930.938,-931.664,50.25
2021-01-05 21:30:05,21895965.19,115064111.139,1624.264,50.75,23874299.373,125460295.511,2525.453,39.0,22325595.309,117321863.189,-2986.44,41.75,20867573.202,109659862.839,-932.255,49.75
2021-01-05 21:30:06,21895656.146,115062487.033,1623.869,50.75,23873818.485,125457770.147,2525.35,39.0,22326163.847,117324849.756,-2986.792,41.75,20867750.67,109660795.343,-932.853,49.5
2021-01-05 21:30:07,21895347.027,115060862.696,1624.065,50.75,23873340.496,125455244.237,2525.753,39.25,22326731.678,117327836.058,-2986.545,41.75,20867928.249,109661727.869,-932.899,49.5
2021-01-05 21:30:08,21895038.082,115059238.631,1623.787,50.75,23872858.517,125452718.19,2525.752,39.0,22327299.71,117330822.624,-2986.948,41.75,20868105.54,109662660.938,-933.544,49.75
2021-01-05 21:30:09,21894728.732,115057615.059,1623.528,50.75,23872377.632,125450192.275,2526.051,39.0,22327868.533,117333809.631,-2986.977,41.75,20868283.59,109663594.748,-933.965,49.5
2021-01-05 21:30:10,21894419.898,115055991.567,1623.29,50.75,23871896.804,125447666.098,2526.086,39.0,22328436.937,117336796.67,-2987.214,41.75,20868461.169,109664528.914,-934.571,49.5
2021-01-05 21:30:11,21894111.099,115054368.257,1623.04,51.0,23871415.991,125445139.701,2526.496,39.0,22329005.601,117339783.865,-2987.463,41.75,20868639.261,109665463.493,-935.001,49.75
2021-01-05 21:30:12,21893802.292,115052745.508,1622.72,51.0,23870935.201,125442613.589,2526.249,39.0,22329574.325,117342771.613,-2987.833,41.75,20868817.098,109666398.923,-935.57,49.75
2021-01-05 21:30:13,21893493.29,115051122.703,1622.46,51.0,23870455.21,125440086.998,2526.475,39.0,22330142.417,117345759.248,-2988.015,41.75,20868995.21,109667334.543,-936.091,49.75
2021-01-05 21:30:14,21893184.609,115049500.285,1622.257,50.75,23869973.503,125437560.449,2526.717,39.25,22330711.249,117348747.232,-2988.156,42.0,20869173.281,109668270.81,-936.593,49.75
2021-01-05 21:30:15,21892875.87,115047877.73,1621.979,50.75,23869492.888,125435033.442,2526.605,39.0,22331279.848,117351735.041,-2988.34,42.0,20869351.367,109669207.198,-937.126,50.25
2021-01-05 21:30:16,21892566.913,115046255.649,1621.991,50.75,23869011.376,125432506.52,2526.98,39.0,22331848.242,117354723.322,-2988.42,42.0,20869529.791,109670144.328,-937.353,50.25
2021-01-05 21:30:17,21892258.664,115044633.976,1621.775,50.5,23868531.828,125429979.637,2527.208,39.0,22332417.092,117357711.94,-2988.512,42.25,20869708.378,109671082.117,-937.829,50.5
2021-01-05 21:30:18,21891949.955,115043012.548,1621.707,50.75,23868049.627,125427452.657,2527.452,39.0,22332985.337,117360700.787,-2988.571,42.25,20869886.793,109672020.411,-938.17,50.5
2021-01-05 21:30:19,21891641.721,115041391.44,1621.222,50.75,23867568.892,125424925.612,2527.385,39.25,22333554.346,117363689.901,-2988.982,42.25,20870065.628,109672959.278,-938.827,50.75
2021-01-05 21:30:20,21891333.093,115039770.467,1620.921,50.75,23867088.438,125422398.376,2527.314,39.0,22334123.844,117366679.133,-2989.248,42.5,20870244.131,109673898.547,-939.486,50.75
2021-01-05 21:30:21,21891024.727,115038149.685,1620.827,50.75,23866607.691,125419870.945,2527.671,39.25,22334692.637,117369668.502,-2989.237,42.25,20870423.002,109674838.259,-939.787,50.75
2021-01-05 21:30:22,21890716.234,115036529.183,1620.406,50.75,23866126.944,125417343.454,2527.609,39.0,22335261.691,117372658.132,-2989.625,42.25,20870602.068,109675778.502,-940.443,50.75
2021-01-05 21:30:23,21890407.964,115034908.738,1620.249,50.75,23865645.822,125414815.646,2527.686,39.0,22335830.28,117375647.762,-2989.804,42.0,20870780.912,109676719.081,-941.007,50.75
2021-01-05 21:30:24,21890099.702,115033288.705,1619.788,50.75,23865164.559,125412287.902,2527.635,39.0,22336398.912,117378637.794,-2990.239,42.0,20870960.104,109677660.316,-941.633,50.5
2021-01-05 21:30:25,21889791.21,115031668.731,1619.38,50.75,23864683.345,125409759.856,2527.586,39.0,22336968.365,117381627.847,-2990.644,42.0,20871139.182,109678601.873,-942.271,50.5
2021-01-05 21:30:26,21889483.146,115030048.998,1619.149,50.75,23864202.456,125407231.69,2527.686,38.5,22337537.473,117384618.095,-2990.837,41.75,20871318.173,109679543.913,-942.732,50.5
2021-01-05 21:30:27,21889175.016,115028429.512,1618.854,51.0,23863721.107,125404703.409,2527.887,38.5,22338106.035,117387608.546,-2991.044,42.0,20871497.779,109680486.471,-943.344,50.5
2021-01-05 21:30:28,21888866.908,115026810.39,1619.207,50.75,23863239.811,125402175.142,2528.521,38.5,22338675.68,117390599.35,-2990.723,42.0,20871677.396,109681429.641,-943.166,50.5
2021-01-05 21:30:29,21888558.631,115025191.659,1618.475,50.75,23862759.66,125399646.921,2528.165,38.75,22339245.003,117393590.47,-2991.326,42.0,20871856.906,109682373.474,-944.212,50.5
2021-01-05 21:30:30,21888250.732,115023572.978,1618.161,50.75,23862277.774,125397118.371,2528.226,38.75,22339813.737,117396581.638,-2991.706,42.0,20872036.509,109683317.606,-944.808,50.5
2021-01-05 21:30:31,21887942.606,115021954.578,1617.903,50.75,23861796.994,125394589.732,2528.296,39.0,22340383.001,117399573.044,-2991.876,42.0,20872216.348,109684262.283,-945.291,50.25
