time,C1C_1,L1C_1,D1C_1,S1C_1,C1C_2,L1C_2,D1C_2,S1C_2,C1C_3,L1C_3,D1C_3,S1C_3,C1C_4,L1C_4,D1C_4,S1C_4
2019-02-02 19:45:00,22445556.079,117952261.88,1560.875,46.125,20148148.563,105879276.776,261.972,52.438,21137222.453,111076912.695,1009.322,48.406,23103389.237,121409164.143,1240.262,44.625
2019-02-02 19:45:01,22445259.005,117950701.125,1560.629,46.062,20148098.804,105879015.086,261.389,52.375,21137030.435,111075903.652,1008.82,48.219,23103153.321,121407923.796,1240.452,44.594
2019-02-02 19:45:02,22444962.083,117949140.754,1560.15,45.938,20148049.072,105878754.026,260.787,52.344,21136838.478,111074895.21,1008.151,48.219,23102917.318,121406683.347,1240.502,44.531
2019-02-02 19:45:03,22444665.174,117947580.724,1559.822,45.844,20147999.48,105878493.587,260.214,52.406,21136646.711,111073887.338,1007.607,48.188,23102681.17,121405442.763,1240.717,44.531
2019-02-02 19:45:04,22444368.39,117946020.984,1559.574,45.844,20147949.987,105878233.682,259.711,52.312,21136454.958,111072879.975,1007.13,48.219,23102445.131,121404201.998,1240.875,44.562
2019-02-02 19:45:05,22444071.6,117944461.568,1559.217,45.875,20147900.702,105877974.381,258.985,52.406,21136263.33,111071873.168,1006.478,48.125,23102208.945,121402961.055,1240.865,44.594
2019-02-02 19:45:06,22443774.962,117942902.562,1558.778,45.812,20147851.487,105877715.74,258.352,52.344,21136071.822,111070866.985,1005.841,48.031,23101972.701,121401720.043,1241.126,44.562
2019-02-02 19:45:07,22443478.41,117941343.963,1558.431,45.812,20147802.473,105877457.768,257.669,52.312,21135880.438,111069861.435,1005.248,48.031,23101736.471,121400478.995,1241.014,44.344
2019-02-02 19:45:08,22443181.898,117939785.689,1558.087,45.875,20147753.483,105877200.38,257.079,52.25,21135689.155,111068856.436,1004.691,48.062,23101500.295,121399237.784,1241.299,44.344
2019-02-02 19:45:09,22442885.496,117938227.796,1557.66,45.781,20147704.633,105876943.626,256.497,52.281,21135498.095,111067852.041,1004.055,48.0,23101264.137,121397996.487,1241.28,44.312
2019-02-02 19:45:10,22442589.163,117936670.238,1557.366,45.844,20147655.888,105876687.483,255.841,52.188,21135307.085,111066848.207,1003.522,48.062,23101027.86,121396755.022,1241.691,44.219
2019-02-02 19:45:11,22442292.904,117935113.033,1557.027,45.906,20147607.257,105876431.95,255.187,52.219,21135116.219,111065844.941,1002.943,48.125,23100791.61,121395513.427,1241.679,44.281
2019-02-02 19:45:12,22441996.667,117933556.172,1556.692,45.875,20147558.751,105876177.023,254.606,52.281,21134925.432,111064842.246,1002.475,48.031,23100555.207,121394271.702,1241.849,44.281
2019-02-02 19:45:13,22441700.389,117931999.641,1556.297,45.906,20147510.323,105875922.674,254.002,52.188,21134734.727,111063840.112,1001.802,48.094,23100318.866,121393029.83,1241.887,44.062
2019-02-02 19:45:14,22441404.252,117930443.504,1555.961,45.938,20147462.039,105875668.993,253.352,52.156,21134544.191,111062838.6,1001.188,48.188,23100082.42,121391787.888,1242.113,44.0
2019-02-02 19:45:15,22441108.199,117928887.733,1555.618,45.906,20147413.878,105875415.952,252.665,52.188,21134353.807,111061837.672,1000.701,48.219,23099845.994,121390545.826,1242.134,44.094
