time,C1C_1,L1C_1,D1C_1,S1C_1,C1C_2,L1C_2,D1C_2,S1C_2,C1C_3,L1C_3,D1C_3,S1C_3,C1C_4,L1C_4,D1C_4,S1C_4
2021-01-05 04:30:00,22428954.386,117864981.788,-1442.421,42.75,23545640.997,123733194.13,-1489.161,41.25,21668818.299,113870412.374,-2481.3,48.25,24185707.035,127096755.681,424.746,37.0
2021-01-05 04:30:01,22429229.215,117866424.117,-1442.355,42.75,23545923.917,123734682.974,-1488.765,41.25,21669290.433,113872893.802,-2481.608,48.0,24185626.436,127096331.124,424.665,37.5
2021-01-05 04:30:02,22429503.216,117867866.368,-1442.161,42.75,23546207.047,123736171.635,-1488.531,41.25,21669762.888,113875375.601,-2481.948,48.0,24185544.875,127095906.795,424.405,37.25
2021-01-05 04:30:03,22429778.509,117869308.646,-1442.215,42.75,23546490.237,123737660.18,-1488.291,41.0,21670235.202,113877857.843,-2482.399,48.0,24185464.311,127095482.802,424.055,37.5
2021-01-05 04:30:04,22430052.178,117870750.542,-1442.278,43.0,23546773.775,123739148.274,-1488.52,41.0,21670707.39,113880340.178,-2483.034,48.0,24185383.583,127095058.806,423.435,37.75
2021-01-05 04:30:05,22430326.827,117872192.605,-1441.956,43.0,23547056.995,123740636.38,-1488.047,41.25,21671180.01,113882823.11,-2483.054,48.0,24185303.476,127094635.298,423.297,37.5
2021-01-05 04:30:06,22430601.392,117873634.748,-1441.877,43.0,23547340.08,123742124.434,-1487.803,41.25,21671652.603,113885306.581,-2483.514,47.75,24185223.407,127094212.188,423.201,37.5
2021-01-05 04:30:07,22430875.375,117875076.88,-1442.419,43.25,23547622.697,123743612.335,-1488.001,41.25,21672125.085,113887790.479,-2484.301,48.0,24185142.122,127093789.368,422.495,37.75
2021-01-05 04:30:08,22431150.021,117876518.781,-1442.327,43.0,23547906.538,123745099.918,-1487.893,41.25,21672597.948,113890274.573,-2484.685,48.0,24185062.101,127093366.669,422.218,37.75
2021-01-05 04:30:09,22431424.241,117877960.622,-1442.254,42.75,23548189.733,123746587.306,-1487.683,41.0,21673070.576,113892759.042,-2485.069,48.0,24184981.601,127092944.284,421.82,38.0
2021-01-05 04:30:10,22431699.073,117879402.53,-1441.967,42.5,23548472.126,123748074.626,-1487.402,41.0,21673543.64,113895244.016,-2485.342,48.25,24184900.837,127092522.234,421.842,37.75
2021-01-05 04:30:11,22431973.005,117880844.233,-1442.433,42.75,23548754.83,123749561.612,-1487.688,41.25,21674016.587,113897729.219,-2486.11,48.25,24184821.398,127092100.335,421.049,38.25
2021-01-05 04:30:12,22432247.885,117882286.094,-1441.611,42.5,23549038.176,123751048.639,-1486.712,41.5,21674489.68,113900215.019,-2485.766,48.25,24184741.041,127091678.91,421.5,38.25
2021-01-05 04:30:13,22432522.231,117883727.806,-1441.644,42.5,23549321.156,123752535.379,-1486.614,41.25,21674962.747,113902701.109,-2486.314,48.25,24184660.556,127091257.667,421.151,38.25
