time,C1C_1,L1C_1,D1C_1,S1C_1,C1C_2,L1C_2,D1C_2,S1C_2,C1C_3,L1C_3,D1C_3,S1C_3,C1C_4,L1C_4,D1C_4,S1C_4
2019-03-27 02:45:00,22897341.719,120326382.343,75.668,46.6,21148317.5,111135079.882,-2362.059,51.6,24253032.328,127450552.825,-1381.555,42.0,22643161.266,118990673.734,2683.844,40.9
2019-03-27 02:45:01,22897327.523,120326306.909,75.164,47.0,21148767.047,111137442.15,-2362.508,51.7,24253294.586,127451934.601,-1381.883,42.1,22642650.039,118987990.159,2683.48,41.1
2019-03-27 02:45:02,22897312.984,120326231.884,74.848,46.7,21149217.094,111139804.814,-2362.82,51.2,24253557.531,127453316.83,-1382.344,42.6,22642139.805,118985307.024,2683.027,41.5
2019-03-27 02:45:03,22897298.742,120326157.276,74.438,46.8,21149666.523,111142167.864,-2363.156,51.5,24253820.086,127454699.478,-1382.91,42.7,22641629.398,118982624.307,2682.645,42.0
2019-03-27 02:45:04,22897284.672,120326083.021,74.109,46.1,21150115.898,111144531.243,-2363.457,51.2,24254083.672,127456082.419,-1382.996,42.8,22641118.758,118979941.97,2682.199,41.7
2019-03-27 02:45:05,22897270.992,120326009.23,73.473,46.3,21150565.875,111146895.059,-2364.066,51.1,24254347.063,127457465.834,-1383.656,42.5,22640607.719,118977260.065,2681.738,41.6
2019-03-27 02:45:06,22897256.891,120325935.769,73.355,46.6,21151015.938,111149259.176,-2364.277,51.7,24254610.453,127458849.596,-1383.984,42.6,22640098.398,118974578.544,2681.316,42.0
2019-03-27 02:45:07,22897242.82,120325862.739,72.781,47.2,21151466.125,111151623.695,-2364.648,51.9,24254873.742,127460233.771,-1384.383,42.5,22639588.313,118971897.424,2680.91,41.6
2019-03-27 02:45:08,22897229.039,120325790.091,72.461,46.5,21151915.773,111153988.596,-2365.133,51.9,24255137.336,127461618.343,-1384.844,42.7,22639077.836,118969216.73,2680.523,41.6
2019-03-27 02:45:09,22897215.367,120325717.856,71.996,46.7,21152365.969,111156353.841,-2365.484,51.7,24255400.953,127463003.259,-1385.125,42.2,22638568.094,118966536.393,2680.098,41.4
2019-03-27 02:45:10,22897202.109,120325646.018,71.625,46.8,21152816.297,111158719.472,-2365.902,51.7,24255664.789,127464388.592,-1385.563,42.5,22638057.898,118963856.514,2679.688,41.8
2019-03-27 02:45:11,22897187.523,120325574.602,71.328,46.9,21153266.273,111161085.492,-2366.148,51.4,24255928.398,127465774.375,-1385.91,42.6,22637547.484,118961177.039,2679.301,41.8
2019-03-27 02:45:12,22897174.742,120325503.55,70.848,46.3,21153716.57,111163451.87,-2366.582,51.3,24256192.375,127467160.528,-1386.457,42.5,22637038.313,118958497.965,2678.895,41.6
2019-03-27 02:45:13,22897161.094,120325432.906,70.371,46.0,21154167.047,111165818.604,-2366.984,51.5,24256455.602,127468547.007,-1386.602,42.4,22636528.781,118955819.263,2678.441,42.0
2019-03-27 02:45:14,22897147.719,120325362.667,70.023,46.5,21154617.344,111168185.712,-2367.238,50.7,24256719.734,127469933.939,-1387.258,42.0,22636018.508,118953140.971,2678.035,41.6
2019-03-27 02:45:15,22897134.516,120325292.825,69.559,46.1,21155067.742,111170553.219,-2367.727,50.6,24256983.633,127471321.272,-1387.551,42.2,22635509.086,118950463.102,2677.59,41.7
2019-03-27 02:45:16,22897121.172,120325223.363,69.301,46.1,21155518.641,111172921.064,-2368.094,50.7,24257248.266,127472708.978,-1387.852,41.4,22634999.758,118947785.625,2677.266,42.0
2019-03-27 02:45:17,22897108.164,120325154.28,68.887,46.1,21155969.234,111175289.293,-2368.508,50.8,24257512.086,127474097.054,-1388.25,41.4,22634490.398,118945108.55,2676.746,41.9
2019-03-27 02:45:18,22897095.328,120325085.502,69.008,46.2,21156419.695,111177657.758,-2368.18,51.0,24257775.945,127475485.416,-1387.996,41.5,22633981.297,118942431.746,2677.105,41.8
2019-03-27 02:45:19,22897081.992,120325017.257,68.105,46.0,21156870.758,111180026.741,-2369.207,51.0,24258040.453,127476874.321,-1389.094,41.4,22633471.43,118939755.504,2676.105,41.9
2019-03-27 02:45:20,22897069.188,120324949.419,67.641,46.0,21157321.633,111182396.095,-2369.66,51.6,24258304.797,127478263.568,-1389.469,41.1,22632962.195,118937079.68,2675.586,42.4
2019-03-27 02:45:21,22897056.242,120324881.958,67.219,45.9,21157772.469,111184765.803,-2370.055,51.8,24258569.68,127479653.275,-1390.016,41.1,22632453.43,118934404.227,2675.207,42.2
